artist,track,album,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,energyLiveness
Machine Gun Kelly,forget me too (feat. Halsey),Tickets To My Downfall,0.654,0.875,-4.845,0.0744,0.000417,0.0086,0.194,0.522,99.975,2.86035,4.510309278350515
Machine Gun Kelly,bloody valentine,Tickets To My Downfall,0.533,0.858,-4.212,0.0766,0.00021,0.0,0.148,0.506,160.057,3.4193166666666666,5.797297297297297
Machine Gun Kelly,Bad Things (with Camila Cabello),bloom,0.697,0.691,-4.757,0.146,0.214,0.0,0.185,0.305,137.853,3.9882166666666663,3.735135135135135
Machine Gun Kelly,make up sex (feat. blackbear),mainstream sellout,0.665,0.678,-4.122,0.0315,0.00156,0.0,0.474,0.682,131.986,2.0428333333333333,1.4303797468354431
Machine Gun Kelly,"F*CK YOU, GOODBYE (feat. Machine Gun Kelly)",F*CK LOVE 3+: OVER YOU,0.721,0.632,-6.695,0.0358,0.0693,0.0,0.291,0.296,92.057,2.414333333333333,2.1718213058419247
Machine Gun Kelly,ay! (feat. Lil Wayne),mainstream sellout,0.742,0.617,-6.689,0.0345,0.05,5.92e-05,0.0711,0.491,147.002,2.0698,8.677918424753868
Nicky Jam,X,Intimo,0.594,0.749,-5.298,0.056,0.0338,0.00106,0.3,0.694,179.968,2.8809,2.4966666666666666
Nicky Jam,El Perdón (with Enrique Iglesias),Fénix,0.628,0.69,-5.83,0.0511,0.443,0.0,0.113,0.66,179.908,3.431783333333333,6.106194690265486
Nicky Jam,Bella y Sensual,Golden,0.635,0.713,-6.909,0.0937,0.228,0.0,0.0506,0.749,179.864,3.4116833333333334,14.09090909090909
Nicky Jam,"Nicky Jam: Bzrp Music Sessions, Vol. 41","Nicky Jam: Bzrp Music Sessions, Vol. 41",0.627,0.849,-3.167,0.153,0.0913,0.0,0.145,0.818,89.907,2.634783333333333,5.855172413793103
Nicky Jam,Cuaderno,Climaxxx,0.681,0.648,-5.021,0.38,0.523,0.0,0.104,0.688,172.02,4.7751166666666665,6.230769230769231
Nicky Jam,En La Cama (feat. Daddy Yankee),Exitos,0.855,0.912,-4.832,0.145,0.183,0.0,0.122,0.885,104.072,2.61705,7.475409836065574
